"result_id","cdm_name","group_name","group_level","strata_name","strata_level","variable_name","variable_level","estimate_name","estimate_type","estimate_value","additional_name","additional_level"
"1","cdm_5pct_9a0f90a32250497d","target_cohort","cohort_1","overall","overall","outcome","cohort_3","estimate","numeric","1","time","0"
"1","cdm_5pct_9a0f90a32250497d","target_cohort","cohort_1","overall","overall","outcome","cohort_3","estimate_95CI_lower","numeric","1","time","0"
"1","cdm_5pct_9a0f90a32250497d","target_cohort","cohort_1","overall","overall","outcome","cohort_3","estimate_95CI_upper","numeric","1","time","0"
"1","cdm_5pct_9a0f90a32250497d","target_cohort","cohort_1","overall","overall","outcome","cohort_3","estimate","numeric","1","time","1"
"1","cdm_5pct_9a0f90a32250497d","target_cohort","cohort_1","overall","overall","outcome","cohort_3","estimate_95CI_lower","numeric","1","time","1"
"1","cdm_5pct_9a0f90a32250497d","target_cohort","cohort_1","overall","overall","outcome","cohort_3","estimate_95CI_upper","numeric","1","time","1"
"1","cdm_5pct_9a0f90a32250497d","target_cohort","cohort_1","overall","overall","outcome","cohort_3","estimate","numeric","0.9995","time","2"
"1","cdm_5pct_9a0f90a32250497d","target_cohort","cohort_1","overall","overall","outcome","cohort_3","estimate_95CI_lower","numeric","0.9986","time","2"
"1","cdm_5pct_9a0f90a32250497d","target_cohort","cohort_1","overall","overall","outcome","cohort_3","estimate_95CI_upper","numeric","1","time","2"
"1","cdm_5pct_9a0f90a32250497d","target_cohort","cohort_1","overall","overall","outcome","cohort_3","estimate","numeric","0.9986","time","3"
"1","cdm_5pct_9a0f90a32250497d","target_cohort","cohort_1","overall","overall","outcome","cohort_3","estimate_95CI_lower","numeric","0.9971","time","3"
"1","cdm_5pct_9a0f90a32250497d","target_cohort","cohort_1","overall","overall","outcome","cohort_3","estimate_95CI_upper","numeric","1","time","3"
"1","cdm_5pct_9a0f90a32250497d","target_cohort","cohort_1","overall","overall","outcome","cohort_3","estimate","numeric","0.9982","time","4"
"1","cdm_5pct_9a0f90a32250497d","target_cohort","cohort_1","overall","overall","outcome","cohort_3","estimate_95CI_lower","numeric","0.9964","time","4"
